Stream,kg,Method,Invoice name,Reporting period start,Reporting period end,Contractor
Household waste,405,measured,Waste Feb 2026 – Recorra,2026-02-01,2026-02-28,Recorra
Mixed paper & card,272,measured,Waste Feb 2026 – Recorra,2026-02-01,2026-02-28,Recorra
Plastics,118,measured,Waste Feb 2026 – Recorra,2026-02-01,2026-02-28,Recorra
Mixed glass,91,measured,Waste Feb 2026 – Recorra,2026-02-01,2026-02-28,Recorra
Food tins & drink cans,46,measured,Waste Feb 2026 – Recorra,2026-02-01,2026-02-28,Recorra
